"HitId","HitTitle","AssignmentId","WorkerId","Status","AcceptTime","SubmitTime","Answer 1","Answer 2","Answer 3","Answer 4","Answer 5","Answer 6","Answer 7","Answer 8","Answer 9","Answer 10"
"2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","Bibliographic Labeling","26TINMHGYQ4J4DAX0Y6MMFOYCORL8Y","A2J237J8KM3OCS","Approved","Sat Oct 20 14:01:16 PDT 2012","Sat Oct 20 14:02:08 PDT 2012","author","author","author","author","series","author","title","author","author","author"
"2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","Bibliographic Labeling","2FMFJ51Y7QEO05YCMO3S0MOFBYDBE4","A2O543PJ8110HB","Approved","Sat Oct 20 14:39:21 PDT 2012","Sat Oct 20 14:40:00 PDT 2012","author","author","author","author","proceedings","author","title","author","author","author"
"2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","Bibliographic Labeling","2WAKMN9U8P9Y4YTIQK93ZUYI07VDU6","AWL4GVQNG6AOW","Approved","Sun Oct 21 08:21:31 PDT 2012","Sun Oct 21 09:21:20 PDT 2012","author","author","author","author","author","author","title","author","author","author"
"2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","Bibliographic Labeling","2JG9Z6KW4ZMA07HDL86Q7ONN9YXF6L","A3A7VZ2Z5EU18R","Approved","Sun Oct 21 12:25:54 PDT 2012","Sun Oct 21 12:32:29 PDT 2012","author","author","author","author","author","author","title","author","author","author"
"2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","Bibliographic Labeling","2UG2L92HECWA7N3KIZ3F7CP5Y7NIH4","ABM77ZQWCHPNX","Approved","Wed Oct 24 08:04:03 PDT 2012","Wed Oct 24 08:04:47 PDT 2012","author","author","author","author","author","author","title","author","author","author"
"2DKDIPDOBDDP9FJIEH4DFXMBE0FB01","Bibliographic Labeling","2Z46SK9RJ85O08Z0B91AWMOO4GBT5G","AWEQZZGOOBGV3","Approved","Thu Oct 25 03:21:18 PDT 2012","Thu Oct 25 03:24:35 PDT 2012","author","author","author","author","author","author","title","author","author","author"
"2FE2GTP9RA7S6MMN0WPSVF70UWTQVK","Bibliographic Labeling","2T6NLVWJ5OPB1OV2TVPM3B7E3D2U24","A2O543PJ8110HB","Approved","Thu Oct 18 02:27:20 PDT 2012","Thu Oct 18 02:29:59 PDT 2012","proceedings","proceedings","series","author","author","series","title","author","author","author"
"2FE2GTP9RA7S6MMN0WPSVF70UWTQVK","Bibliographic Labeling","2A7K0COK2JE1NXP6EWCR36OZOIZLSZ","A2J237J8KM3OCS","Approved","Sat Oct 20 14:02:40 PDT 2012","Sat Oct 20 14:03:21 PDT 2012","proceedings","proceedings","series","author","author","series","title","author","author","author"
"2FE2GTP9RA7S6MMN0WPSVF70UWTQVK","Bibliographic Labeling","2USCOK2JE1M7QAKVFEN6VZACEBWUN4","AWL4GVQNG6AOW","Approved","Sun Oct 21 08:19:02 PDT 2012","Sun Oct 21 09:14:21 PDT 2012","series","series","series","author","author","conference","title","author","author","author"
"2FE2GTP9RA7S6MMN0WPSVF70UWTQVK","Bibliographic Labeling","2I0MQU6L5OBVD81DRKVAPJF7U1HEXW","A3A7VZ2Z5EU18R","Approved","Sun Oct 21 12:19:52 PDT 2012","Sun Oct 21 12:21:52 PDT 2012","proceedings","proceedings","series","author","author","conference","title","author","author","author"
